image_id,flags,camera,filters,phase_deg,outcome,attribution,haze_dv_px,haze_du_px,haze_confidence,envelope_diameter_px,arc_residual_rms_px,fitted_haze_radius_km,ensemble_status,ensemble_status_reason
W1604469049_1,clean,WAC,CL1+CL2,94.394,committed,,-0.6939,-3.1614,0.776,447.567,1.201,2816.961,success,ok
W1618826483_2,known_bad,WAC,CL1+CL2,,no_feature,missing_data_dominant,,,,,,,failed,missing_data_dominant
W1629929515_1,clean,WAC,CL1+RED,13.386,committed,,0.2582,-2.7143,0.61,629.768,1.951,2829.59,success,ok
W1643375992_1,clean,WAC,CL1+VIO,134.718,committed,,4.0657,-0.9796,0.795,550.001,0.807,2843.863,success,ok
W1643376091_1,clean,WAC,CL1+RED,134.715,committed,,3.5923,-0.9683,0.796,551.566,1.006,2809.635,success,ok
W1655808265_1,clean,WAC,CL1+VIO,32.798,spurious,arc_residual,,,0.0,644.608,2.205,2905.215,failed,final_confidence_below_threshold
W1655808364_1,clean,WAC,CL1+RED,32.801,committed,,2.7266,-3.2287,0.792,642.448,0.643,2805.144,success,ok
W1665740526_2,known_bad,WAC,IR2+IR1,118.922,spurious,arc_residual,,,0.0,482.972,7.914,2878.48,failed,all_techniques_spurious
W1676687378_1,rings_occluding,WAC,CB3+CL2,151.125,committed,,0.1736,1.7238,0.824,380.084,0.275,2811.57,success,ok
W1681926856_1,clean,WAC,CL1+VIO,16.378,committed,,-1.3524,-1.7131,0.805,228.813,0.91,2881.334,success,ok
W1683615178_1,clean,WAC,CL1+VIO,46.587,spurious,arc_residual,,,0.0,760.85,3.592,2908.036,failed,all_techniques_spurious
W1683615321_1,clean,WAC,CL1+RED,46.599,committed,,3.0218,-2.9344,0.65,756.502,1.918,2810.822,success,ok
W1702446995_1,known_bad,WAC,CB3+CL2,,no_feature,missing_data_dominant,,,,,,,failed,missing_data_dominant
W1721822901_1,high_phase,WAC,CL1+CL2,149.197,committed,,0.3167,-0.5743,0.752,630.408,0.816,2833.939,success,ok
W1721823033_1,high_phase,WAC,CL1+RED,149.19,committed,,1.5286,-0.8644,0.781,633.069,0.64,2836.722,success,ok
W1743914117_1,clean,WAC,CL1+RED,73.172,committed,,4.581,1.3476,0.767,936.184,1.248,2809.888,success,ok
W1743914297_1,clean,WAC,CL1+VIO,73.177,committed,,3.6159,0.2085,0.649,928.592,1.623,2821.646,success,ok
W1753508727_1,clean,WAC,CL1+VIO,90.31,committed,,2.1783,1.3576,0.814,782.514,0.869,2914.341,success,ok
W1753508826_1,clean,WAC,CL1+RED,90.306,committed,,3.7546,1.0879,0.84,785.702,0.562,2816.506,success,ok
W1822132529_1,clean,WAC,CL1+BL1,63.056,committed,,0.9498,-0.9447,0.81,518.376,0.931,2851.067,success,ok
W1883905091_1,clean,WAC,CB3+CL2,79.8,committed,,0.9345,1.4554,0.836,373.771,0.731,2765.252,success,ok
